Roll-on/Roll-off (Ro-Ro) traffic,Passenger-carrying vehicles,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,,
Roll-on/Roll-off (Ro-Ro) traffic,Import/Export motor vehicles,"4,083","4,023","4,693","4,839","5,268","5,400","5,566","5,932","5,144","4,004","4,706","5,284","5,541","6,351","6,962","7,034","6,711","6,094","6,667","6,161","4,558","4,144","4,805",,
Roll-on/Roll-off (Ro-Ro) traffic,"Rail wagons, shipborne trailers, barges2","6,166","4,846","5,294","5,505","5,483","10,064","10,837","11,099","10,800","11,023","11,205","11,380","10,706","9,642","9,601","10,014","10,277","10,413","10,244","9,646","9,562","8,053","8,766",,
Roll-on/Roll-off (Ro-Ro) traffic,"Unaccompanied caravans, agricultural & industrial vehicles",570,799,616,649,878,423,"1,043","1,024",932,734,626,311,337,472,238,114,182,138,110,237,132,284,209,,
Roll-on/Roll-off (Ro-Ro) traffic,Live animals on the hoof,21,9,LOW,LOW,LOW,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Roll-on/Roll-off (Ro-Ro) traffic,Other Ro-Ro traffic,"1,055","1,132",821,847,555,"1,090",759,614,531,433,533,55,1,1,19,LOW,0,LOW,0,8,4,90,194,,
All Roll-on/Roll-off (Ro-Ro) traffic,All roll-on/roll-off traffic,"85,390","83,187","86,339","86,976","92,804","100,262","104,263","104,694","101,414","94,081","96,015","97,309","94,345","95,055","99,614","103,778","106,442","107,038","107,580","104,285","98,971","95,233","99,054",,
Other general cargo,Forestry products,"9,795","9,405","10,191","10,249","10,558","9,616","8,894","8,987","6,525","5,243","5,588","5,713","4,679","7,022","5,704","5,861","5,310","5,262","5,254","4,866","4,901","5,649","4,735",,
Other general cargo,Iron and steel products,"9,776","9,818","10,261","8,995","10,057","10,351","10,637","12,236","10,317","6,182","6,128","6,936","7,789","8,991","9,975","8,848","6,965","7,259","7,001","6,553","5,572","6,629","5,661",,
Other general cargo,General cargo & containers <20',"4,926","6,835","6,685","6,750","6,726","7,342","7,141","6,215","6,243","5,451","5,068","5,368","5,846","5,387","5,526","5,615","5,112","6,251","5,610","5,446","5,869","6,079","5,030",,
All other general cargo,All other general cargo traffic,"24,498","26,058","27,137","25,994","27,341","27,309","26,672","27,438","23,085","16,876","16,784","18,017","18,313","21,400","21,204","20,325","17,387","18,772","17,865","16,865","16,342","18,356","15,426",,
All traffic,All traffic,"555,612","549,455","542,114","538,977","558,183","570,145","568,763","566,617","548,079","489,556","498,488","506,996","489,450","491,755","491,856","485,729","472,772","470,683","472,056","471,739","428,994","435,386","449,597",,
All bulk traffic,Bulk fuels [Note 3],"304,924","299,121","291,536","285,494","296,298","302,187","294,072","281,421","276,918","254,681","248,696","255,457","246,731","239,533","221,369","209,231","190,952","188,485","185,942","188,463","163,534","161,187","181,414",,
All bulk traffic,Other bulks [Note 3],"89,229","89,399","86,002","89,235","85,325","86,548","89,396","92,555","87,112","71,907","80,320","78,509","75,008","78,864","88,412","89,184","92,659","92,357","92,214","95,361","87,991","97,227","91,925",,
All bulk traffic,All bulk traffic,"394,153","388,521","377,538","374,728","381,623","388,734","383,468","373,976","364,030","326,588","329,016","333,966","321,739","318,397","309,782","298,415","283,611","280,843","278,155","283,824","251,525","258,414","273,339",,
Main Freight Units,Lo-Lo main freight,"51,571","51,689","51,100","51,279","56,414","53,840","54,359","60,510","59,550","52,011","56,674","57,703","55,053","56,903","61,256","63,212","65,331","64,031","68,456","66,765","62,155","63,383","61,778",,
Main Freight Units,Ro-Ro main freight,"79,661","77,225","80,208","80,640","86,104","93,348","96,895","97,121","94,808","88,910","90,149","91,659","88,466","88,231","92,395","96,630","99,549","100,806","100,803","97,880","94,277","90,715","93,847",,
All main freight,All main freight,"131,232","128,914","131,308","131,919","142,518","147,188","151,255","157,631","154,358","140,920","146,823","149,362","143,519","145,134","153,651","159,842","164,880","164,837","169,259","164,645","156,432","154,097","155,625",,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
